OBJECTID,elevation
112924,470.0
112927,98.0
112928,1407.0
112936,149.0
112971,522.0
112988,321.0
113008,355.0
113076,1336.0
113146,1955.0
113161,62.0
113183,640.0
113197,155.0
113198,156.0
113199,1190.0
113223,95.0
113230,133.0
113256,79.0
113306,169.0
113308,2378.0
113332,141.0
113341,858.0
113381,2058.0
113397,105.0
113401,2288.0
113504,80.0
113513,82.0
113541,90.0
113579,71.0
113588,2090.0
113597,1561.0
113598,112.0
113603,1158.0
113610,1625.0
113645,111.0
113648,342.0
113667,341.0
113685,1649.0
113707,1906.0
113727,1229.0
113737,1172.0
113754,92.0
113763,2124.0
113808,2715.0
113862,1961.0
113871,88.0
113882,70.0
113889,3299.0
113930,2834.0
113946,2551.0
113947,2058.0
114002,121.0
114017,2703.0
114040,98.0
114053,573.0
114055,3134.0
114073,66.0
114090,26.0
114101,1786.0
114125,1053.0
114132,133.0
114135,167.0
114149,653.0
114181,3054.0
114188,1900.0
114194,73.0
114222,1513.0
114239,515.0
114254,2053.0
114300,101.0
114302,1337.0
114318,1091.0
114328,2132.0
114346,97.0
114357,351.0
114369,3200.0
114394,1465.0
114455,503.0
114473,1778.0
114480,86.0
114484,703.0
114494,89.0
114499,99.0
114525,76.0
114579,268.0
114587,791.0
114590,123.0
114612,1444.0
114665,1496.0
114673,104.0
114685,2266.0
114697,374.0
114698,1089.0
114710,97.0
114754,105.0
114776,178.0
114866,100.0
114878,122.0
114899,1131.0
114920,15.0
114979,129.0
114988,2167.0
115005,7.0
115015,104.0
115028,139.0
115063,645.0
115107,115.0
115216,119.0
115242,147.0
115250,160.0
115287,1662.0
115309,63.0
115316,112.0
115352,602.0
115358,2271.0
115368,262.0
115372,1461.0
115404,515.0
115445,105.0
115473,109.0
115489,1882.0
115517,2088.0
115528,1315.0
115593,421.0
115594,31.0
115598,2008.0
115606,87.0
115661,134.0
115696,11.0
115737,147.0
115764,41.0
115772,1434.0
115778,333.0
115800,166.0
115801,391.0
115824,467.0
115825,69.0
115861,2537.0
115873,4.0
115877,126.0
115878,97.0
115890,1460.0
115932,903.0
115941,627.0
115952,2741.0
115958,135.0
115970,18.0
115993,1096.0
116011,107.0
116026,107.0
116030,2016.0
116037,1649.0
116043,907.0
116055,1232.0
116058,1135.0
116085,501.0
116087,686.0
116116,2626.0
116119,1739.0
116121,99.0
116174,296.0
116185,141.0
116221,76.0
116223,136.0
116237,2964.0
116345,1480.0
116399,409.0
116427,127.0
116440,87.0
116450,111.0
116452,513.0
116468,49.0
116469,12.0
116476,1208.0
116478,370.0
116488,1370.0
116511,169.0
116513,404.0
116532,1709.0
116573,133.0
116600,39.0
116609,48.0
116635,163.0
116701,1076.0
116702,604.0
116705,382.0
116709,124.0
116714,122.0
116715,1653.0
116728,116.0
116738,126.0
116749,118.0
116752,1653.0
116756,115.0
116781,116.0
116793,1404.0
116807,190.0
116819,110.0
116833,93.0
116840,739.0
116846,285.0
116864,129.0
116871,477.0
116874,76.0
116931,122.0
116952,130.0
116960,153.0
116962,1140.0
116971,663.0
116985,78.0
117019,275.0
117022,26.0
117054,1063.0
117056,1224.0
117061,105.0
117064,903.0
117072,1369.0
117076,845.0
117110,126.0
117144,110.0
117167,2066.0
117172,1062.0
117212,126.0
117222,93.0
117258,96.0
117295,177.0
117299,1438.0
117333,120.0
117361,659.0
117384,70.0
117386,2317.0
117409,395.0
117415,359.0
117473,281.0
117477,36.0
117501,383.0
117565,84.0
117575,1079.0
117580,1854.0
117592,480.0
117595,69.0
117604,1930.0
